study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,46.674453831712,54.007523148148,0,223,223,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,55.352746616187,22.987298195632,639,727,88,9.9452634394203,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,48.284931323995,38.912996790777,756,1147,391,11.229053410955,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,41.524480093034,58.410617865648,1214,1603,389,5.7631195637968,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,37.121066657357,49.641203703704,1622,1734,112,3.8210248355131,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,35.816861976136,57.082193462402,1830,2033,203,15.32266585525,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,5,5,1,52.950730637531,50.082671957672,2120,2256,136,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,58.491510483698,67.071759259259,0,130,130,19.135406416512,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,79.6875,77.245606575964,162,316,154,12.53494752866,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,73.69332938121,100.48695799458,348,476,128,,
